tid,sid,latitude,longitude,time,direction_inference,speed_inference_m_s,label
1,6,0.511,-34.806999999999995,2004-04-19 20:31:00,41.8,4.44,FISHING
1,6,0.502,-34.845,2004-04-19 20:49:00,23.98,4.02,FISHING
1,6,0.486,-34.866,2004-04-19 21:00:00,4.94,4.45,FISHING
1,6,0.422,-34.967,2004-04-19 22:00:00,81.87,3.69,FISHING
1,6,0.463,-35.001999999999995,2004-04-19 22:23:00,0.44,4.34,FISHING
1,6,0.532,-35.06,2004-04-19 23:00:00,29.87,4.51,FISHING
1,6,0.649,-35.081,2004-04-19 23:52:00,117.18,4.24,FISHING
2,6,0.612,-34.96,2004-04-20 00:58:00,2.13,3.55,FISHING
2,6,0.578,-34.832,2004-04-20 02:03:00,1.58,3.78,FISHING
2,6,0.565,-34.777,2004-04-20 02:31:00,2.91,3.74,FISHING
2,6,0.5539999999999999,-34.717,2004-04-20 03:00:00,0.62,3.9,FISHING
2,6,0.5329999999999999,-34.595,2004-04-20 04:00:00,2.43,3.82,FISHING
2,6,0.517,-34.521,2004-04-20 04:39:00,16.19,3.6,FISHING
2,6,0.4970000000000001,-34.484,2004-04-20 05:00:00,5.44,3.71,FISHING
2,6,0.461,-34.399,2004-04-20 06:00:00,14.82,2.85,FISHING
2,6,0.456,-34.364000000000004,2004-04-20 07:00:00,66.8,1.09,FISHING
2,6,0.479,-34.35,2004-04-20 07:38:00,96.21,1.31,FISHING
2,6,0.494,-34.382,2004-04-20 08:00:00,54.08,2.98,FISHING
2,6,0.463,-34.438,2004-04-20 08:38:00,17.28,3.12,FISHING
2,6,0.457,-34.467,2004-04-20 09:00:00,34.31,2.49,FISHING
2,6,0.467,-34.491,2004-04-20 09:16:00,5.49,3.01,FISHING
2,6,0.506,-34.564,2004-04-20 10:00:00,34.37,3.49,FISHING
2,6,0.498,-34.637,2004-04-20 10:54:00,37.82,2.52,FISHING
2,6,0.4370000000000001,-34.7,2004-04-20 11:46:00,5.42,3.13,FISHING
2,6,0.429,-34.71,2004-04-20 12:00:00,64.43,1.7,FISHING
2,6,0.471,-34.797,2004-04-20 13:00:00,32.9,2.98,FISHING
2,6,0.517,-34.825,2004-04-20 13:29:00,5.33,3.44,FISHING
2,6,0.5579999999999999,-34.845,2004-04-20 14:00:00,23.88,2.73,FISHING
2,6,0.612,-34.847,2004-04-20 14:34:00,39.6,2.95,FISHING
2,6,0.642,-34.824,2004-04-20 15:00:00,20.09,2.69,FISHING
2,7,0.71,-34.717,2004-04-20 15:54:00,0.3,4.35,NOT_FISHING
2,7,0.7909999999999999,-34.591,2004-04-20 17:00:00,3.09,4.21,NOT_FISHING
2,7,0.828,-34.526,2004-04-20 17:33:00,1.74,4.2,NOT_FISHING
2,7,0.8640000000000001,-34.467,2004-04-20 18:01:00,0.37,4.57,NOT_FISHING
2,7,0.942,-34.341,2004-04-20 19:00:00,0.5,4.65,NOT_FISHING
2,7,0.993,-34.257,2004-04-20 19:40:00,1.81,4.55,NOT_FISHING
2,7,1.021,-34.214,2004-04-20 20:00:00,1.64,4.75,NOT_FISHING
2,7,1.043,-34.178000000000004,2004-04-20 20:17:00,2.26,4.6,NOT_FISHING
2,7,1.103,-34.088,2004-04-20 21:00:00,0.84,4.66,NOT_FISHING
2,7,1.189,-33.963,2004-04-20 22:05:00,0.37,4.33,NOT_FISHING
2,7,1.246,-33.879,2004-04-20 22:52:00,2.71,4.0,NOT_FISHING
2,7,1.3090000000000002,-33.776,2004-04-20 23:39:00,1.1,4.76,NOT_FISHING
2,7,1.339,-33.729,2004-04-21 00:00:00,1.12,4.92,NOT_FISHING
2,7,1.372,-33.675,2004-04-21 00:25:00,1.9,4.69,NOT_FISHING
2,7,1.42,-33.602,2004-04-21 01:00:00,4.55,4.63,NOT_FISHING
2,7,1.497,-33.503,2004-04-21 01:50:00,5.39,4.65,NOT_FISHING
2,7,1.529,-33.469,2004-04-21 02:08:00,4.94,4.81,NOT_FISHING
2,7,1.612,-33.364000000000004,2004-04-21 03:00:00,1.91,4.77,NOT_FISHING
2,7,1.702,-33.242,2004-04-21 04:00:00,0.45,4.68,NOT_FISHING
2,7,1.7380000000000002,-33.194,2004-04-21 04:24:00,2.3,4.63,NOT_FISHING
2,7,1.76,-33.167,2004-04-21 04:38:00,2.1,4.61,NOT_FISHING
2,7,1.794,-33.122,2004-04-21 05:00:00,2.91,4.75,NOT_FISHING
2,7,1.889,-32.982,2004-04-21 06:08:00,2.8,4.61,NOT_FISHING
2,7,1.968,-32.876999999999995,2004-04-21 07:00:00,1.2,4.68,NOT_FISHING
2,7,1.99,-32.849000000000004,2004-04-21 07:14:00,0.5,4.71,NOT_FISHING
2,7,2.061,-32.757,2004-04-21 08:00:00,5.94,4.68,NOT_FISHING
2,7,2.129,-32.647,2004-04-21 08:53:00,5.52,4.52,NOT_FISHING
2,7,2.221,-32.526,2004-04-21 10:00:00,0.1,4.2,NOT_FISHING
2,7,2.279,-32.45,2004-04-21 10:41:00,0.53,4.32,NOT_FISHING
2,7,2.307,-32.414,2004-04-21 11:00:00,1.44,4.45,NOT_FISHING
2,7,2.338,-32.372,2004-04-21 11:23:00,0.44,4.2,NOT_FISHING
2,7,2.389,-32.304,2004-04-21 12:00:00,0.0,4.26,NOT_FISHING
2,7,2.455,-32.216,2004-04-21 12:48:00,1.33,4.24,NOT_FISHING
2,7,2.475,-32.188,2004-04-21 13:02:00,27.91,4.55,NOT_FISHING
2,7,2.49,-32.076,2004-04-21 14:00:00,11.9,3.61,NOT_FISHING
2,7,2.485,-32.009,2004-04-21 14:31:00,0.8,4.01,NOT_FISHING
2,7,2.481,-31.943,2004-04-21 15:00:00,0.3,4.22,NOT_FISHING
2,7,2.475,-31.852,2004-04-21 15:41:00,0.31,4.12,NOT_FISHING
2,7,2.472,-31.81,2004-04-21 16:00:00,51.33,4.1,NOT_FISHING
2,7,2.525,-31.761,2004-04-21 17:00:00,7.88,2.23,NOT_FISHING
